Fl_No,AIRCRAFT,DAY,MONTH,YEAR,FROM,TO,DEPARTURE,ARRIVAL,SEATS(E),SEATS(B),SEATS(F),AMT(E),AMT(B),AMT(F),A,B,C,D,E,F,G,H,I,J,K
KR101,KA1,17,Aug,23,Delhi,Kuwait,20:30,1:45,0,1,0,22000,70000,130000,100A,000B,000C,000D,100E,000F,000G,000H,000I,000J,000K
KR102,KA1,17,Aug,23,Kuwait,Delhi,3:00,7:00,0,1,0,25000,71000,135000,000A,000B,000C,010D,000E,000F,000G,000H,000I,000J,000K
KR103,KA1,18,Aug,23,Delhi,Kuwait,20:30,1:45,1,0,1,22000,75000,131000,000A,100B,000C,000D,000E,000F,000G,000H,000I,100J,000K
KR104,KA1,18,Aug,23,Kuwait,Delhi,3:00,7:00,1,0,1,28000,70000,130000,100A,000B,000C,000D,000E,000F,000G,000H,100I,000J,000K
KR105,KA1,19,Aug,23,Delhi,Kuwait,20:30,1:45,0,1,0,21000,70000,129000,000A,000B,000C,010D,000E,000F,000G,000H,000I,000J,000K
KR106,KA1,19,Aug,23,Kuwait,Delhi,3:00,7:00,0,0,0,23000,73000,134000,000A,000B,000C,000D,000E,000F,000G,000H,000I,000J,000K
KR107,KA1,20,Aug,23,Delhi,Kuwait,20:30,1:45,0,0,0,22000,69000,130000,000A,000B,000C,000D,000E,000F,000G,000H,000I,000J,000K
KR108,KA1,20,Aug,23,Kuwait,Delhi,3:00,7:00,1,0,0,22000,70000,137000,000A,000B,000C,000D,000E,000F,000G,000H,001I,000J,000K
KR109,KA1,21,Aug,23,Delhi,Kuwait,20:30,1:45,0,0,1,25000,68500,131000,010A,000B,000C,000D,000E,000F,000G,000H,000I,000J,000K
KR110,KA1,21,Aug,23,Kuwait,Delhi,3:00,7:00,0,0,0,22000,70000,130000,000A,000B,000C,000D,000E,000F,000G,000H,000I,000J,000K
