Fl_No,AIRCRAFT,DAY,MONTH,YEAR,FROM,TO,DEPARTURE,ARRIVAL,SEATS(E),SEATS(B),SEATS(F),AMT(E),AMT(B),AMT(F),A,B,C,D,E,F,G,H,I,J,K
KR501,KA5,17,Aug,23,Zurich,Dubai,8:05,10:45,0,1,1,80000,270000,550000,100A,000B,000C,000D,100E,000F,000G,000H,000I,000J,000K
KR502,KA5,17,Aug,23,Dubai,Zurich,15:10,6:10,0,1,0,81000,275000,555000,000A,000B,000C,010D,000E,000F,000G,000H,000I,000J,000K
KR503,KA5,18,Aug,23,Zurich,Dubai,8:05,10:45,1,0,1,85000,278000,557000,000A,100B,000C,000D,000E,000F,000G,000H,000I,100J,000K
KR504,KA5,18,Aug,23,Dubai,Zurich,15:10,6:10,1,0,1,87000,270000,549000,100A,000B,000C,000D,000E,000F,000G,000H,100I,000J,000K
KR505,KA5,19,Aug,23,Zurich,Dubai,8:05,10:45,0,1,0,80000,270000,550000,000A,000B,000C,010D,000E,000F,000G,000H,000I,000J,000K
KR506,KA5,19,Aug,23,Dubai,Zurich,15:10,6:10,0,0,0,80000,280000,556000,000A,000B,000C,000D,000E,000F,000G,000H,000I,000J,000K
KR507,KA5,20,Aug,23,Zurich,Dubai,8:05,10:45,0,0,0,79000,270000,550000,000A,000B,000C,000D,000E,000F,000G,000H,000I,000J,000K
KR508,KA5,20,Aug,23,Dubai,Zurich,15:10,6:10,1,0,0,85000,271000,551000,000A,000B,000C,000D,000E,000F,000G,000H,001I,000J,000K
KR509,KA5,21,Aug,23,Zurich,Dubai,8:05,10:45,0,0,1,80000,270000,550000,010A,000B,000C,000D,000E,000F,000G,000H,000I,000J,000K
KR510,KA5,21,Aug,23,Dubai,Zurich,15:10,6:10,0,0,0,81000,275000,546000,000A,000B,000C,000D,000E,000F,000G,000H,000I,000J,000K
