Fl_No,AIRCRAFT,DAY,MONTH,YEAR,FROM,TO,DEPARTURE,ARRIVAL,SEATS(E),SEATS(B),SEATS(F),AMT(E),AMT(B),AMT(F),A,B,C,D,E,F,G,H,I,J,K
KR301,KA3,17,Aug,23,Kuwait,Barcelona,1:45,8:35,0,1,1,65000,300000,650000,100A,000B,000C,000D,100E,000F,000G,000H,000I,000J,000K
KR302,KA3,17,Aug,23,Barcelona,Kuwait,10:30,5:00,0,1,0,67000,320000,670000,000A,000B,000C,010D,000E,000F,000G,000H,000I,000J,000K
KR303,KA3,18,Aug,23,Kuwait,Barcelona,1:45,8:35,1,0,1,68000,350000,640000,000A,100B,000C,000D,000E,000F,000G,000H,000I,100J,000K
KR304,KA3,18,Aug,23,Barcelona,Kuwait,10:30,5:00,1,0,1,70000,360000,650000,100A,000B,000C,000D,000E,000F,000G,000H,100I,000J,000K
KR305,KA3,19,Aug,23,Kuwait,Barcelona,1:45,8:35,0,1,0,72000,300000,650000,000A,000B,000C,010D,000E,000F,000G,000H,000I,000J,000K
KR306,KA3,19,Aug,23,Barcelona,Kuwait,10:30,5:00,0,0,0,65000,300000,654000,000A,000B,000C,000D,000E,000F,000G,000H,000I,000J,000K
KR307,KA3,20,Aug,23,Kuwait,Barcelona,1:45,8:35,0,0,0,64000,310000,650000,000A,000B,000C,000D,000E,000F,000G,000H,000I,000J,000K
KR308,KA3,20,Aug,23,Barcelona,Kuwait,10:30,5:00,1,0,0,65000,300000,690000,000A,000B,000C,000D,000E,000F,000G,000H,001I,000J,000K
KR309,KA3,21,Aug,23,Kuwait,Barcelona,1:45,8:35,0,0,1,63000,390000,650000,010A,000B,000C,000D,000E,000F,000G,000H,000I,000J,000K
KR310,KA3,21,Aug,23,Barcelona,Kuwait,10:30,5:00,0,0,0,65000,300000,610000,000A,000B,000C,000D,000E,000F,000G,000H,000I,000J,000K
